title,description,ingredients,steps,tags,cuisine,difficulty,cook_time,servings,calories,diet_type,image_url,ownerUid,status
Hainanese Chicken Rice,Poached chicken served with fragrant chicken rice and chili sauce.,"whole chicken, ginger, garlic, pandan leaves, jasmine rice, chicken stock, cucumber, light soy sauce, sesame oil, chili, lime","Rinse the chicken and rub it with salt, then rinse again to clean the skin. | Bring a pot of water to a gentle simmer with ginger and spring onion, then poach the chicken until cooked and tender. | Shock the chicken in ice water to keep the meat juicy and the skin firm, then pat dry and rub with a little sesame oil. | Fry minced garlic and ginger in oil, add rinsed rice and pandan leaves, then stir until fragrant. | Transfer the rice to a rice cooker and cook with chicken stock until fluffy. | Slice the chicken and serve it over the fragrant rice with cucumber, light soy sauce, and chili lime sauce.","Singaporean, rice, chicken, hawker",Singaporean,Medium,60,4,650,Halal,,system,approved
Laksa,Spicy coconut curry noodle soup with prawns and fish cake.,"rice noodles, prawns, fish cake, tofu puffs, bean sprouts, coconut milk, laksa paste, dried shrimp, chicken stock, laksa leaves","Soak or blanch the rice noodles until just tender and set them aside. | Fry laksa paste with a spoon of oil until aromatic, then add dried shrimp and stir to release flavor. | Pour in chicken stock and bring to a simmer, then add coconut milk and tofu puffs. | Add prawns and sliced fish cake and cook briefly until the prawns turn pink. | Place noodles and bean sprouts in bowls, ladle the hot laksa broth over, and garnish with laksa leaves.","Singaporean, noodles, spicy, curry",Singaporean,Medium,35,3,620,Halal,,system,approved
Char Kway Teow,"Wok-fried flat rice noodles with egg, Chinese sausage, and bean sprouts.","flat rice noodles, egg, Chinese sausage, fish cake, bean sprouts, garlic, soy sauce, dark soy sauce, chili, chives","Heat a well seasoned wok until smoking and add a little oil. | Fry minced garlic briefly, then add the noodles and toss quickly over high heat. | Push noodles aside, scramble an egg in the wok, then mix through. | Add sliced Chinese sausage, fish cake, and bean sprouts, and toss until heated through. | Season with light and dark soy sauce and a little chili, then finish with chives.","Singaporean, noodles, stir fry",Singaporean,Hard,15,2,700,Non-Halal,,system,approved
Nasi Lemak,"Coconut rice served with sambal, fried anchovies, peanuts, egg, and cucumber.","jasmine rice, coconut milk, pandan leaves, anchovies, peanuts, egg, cucumber, sambal","Rinse the rice until the water runs clear and drain well. | Cook the rice with coconut milk, water, salt, and pandan leaves until tender and fragrant. | Fry the anchovies until crisp and toast the peanuts until aromatic. | Serve the coconut rice with sambal, fried anchovies, peanuts, sliced cucumber, and a fried or boiled egg.","Singaporean, rice, coconut",Singaporean,Easy,40,4,600,Halal,,system,approved
Satay,Skewered marinated meat grilled and served with peanut sauce.,"chicken, beef, lemongrass, turmeric, coriander powder, cumin, brown sugar, soy sauce, peanut butter, coconut milk","Cut the meat into small cubes and marinate with lemongrass, turmeric, coriander, cumin, sugar, and soy sauce for at least two hours. | Thread the meat onto skewers and grill over medium high heat, basting with remaining marinade. | Simmer peanut butter with coconut milk, chili, and a splash of soy sauce to make a quick peanut sauce. | Serve the satay hot with peanut sauce and sliced cucumber and onion.","Singaporean, grill, appetizer",Singaporean,Medium,45,4,520,Halal,,system,approved
Roti Prata,Flaky pan-fried flatbread served with curry or sugar.,"plain flour, salt, sugar, water, ghee, oil","Combine flour, salt, sugar, water, and a bit of ghee to make a soft dough. | Knead until smooth, then rest the dough balls in oil for at least two hours. | Stretch each ball into a thin sheet, fold into a coil, and flatten. | Fry on a hot griddle with ghee until golden and flaky on both sides. | Serve with curry or a sprinkle of sugar.","Singaporean, bread, breakfast",Singaporean,Medium,120,4,400,Vegetarian,,system,approved
Mee Goreng,"Spicy fried yellow noodles with egg, tofu, and vegetables.","yellow noodles, egg, tofu, cabbage, tomato, garlic, sweet soy sauce, chili paste, lime","Heat oil in a wok and fry garlic until fragrant, then add chili paste. | Add tofu and vegetables and stir fry briefly. | Add noodles and toss with sweet soy sauce, then push aside and scramble an egg. | Toss everything together and serve with lime.","Singaporean, noodles, spicy",Singaporean,Medium,20,2,580,Halal,,system,approved
Chilli Crab,"Crab in a sweet, savory, and spicy tomato–chili sauce.","mud crab, garlic, ginger, shallots, tomato sauce, chili paste, egg, cornstarch, spring onion","Clean and portion the crab, then pat dry. | Stir fry garlic, ginger, and shallots until fragrant, then add chili paste and tomato sauce. | Add crab pieces and a splash of water, cover, and simmer until the shells turn bright red. | Thicken the sauce with a cornstarch slurry and swirl in a beaten egg to finish. | Garnish with spring onion and serve with mantou.","Singaporean, seafood, spicy",Singaporean,Medium,35,3,620,Halal,,system,approved
Bak Kut Teh,Peppery pork rib soup with garlic and spices.,"pork ribs, garlic, white peppercorns, dark soy sauce, light soy sauce, you tiao, rice","Blanch pork ribs briefly to remove impurities, then rinse. | Simmer ribs with smashed garlic, white peppercorns, and water for 1.5 to 2 hours until tender. | Season with soy sauces to taste and serve hot with rice and fried dough sticks.","Singaporean, soup, pork",Singaporean,Easy,120,4,450,Non-Halal,,system,approved
Hokkien Mee,Stir-fried prawn and squid noodles in a rich stock.,"yellow noodles, thick rice vermicelli, prawns, squid, egg, garlic, pork lard or oil, prawn stock, chives, lime","Fry garlic in oil, then add prawns and squid and cook until just done. | Add a mix of yellow noodles and thick vermicelli, then pour in prawn stock. | Simmer briefly while tossing until the noodles absorb the stock. | Stir in beaten egg to coat, then season and finish with chives and lime.","Singaporean, noodles, seafood",Singaporean,Medium,25,2,680,Non-Halal,,system,approved
Kaya Toast,Toasted bread with kaya coconut jam and butter.,"white bread, kaya, butter","Toast the bread until golden and crisp. | Spread kaya generously on one slice and cold butter on the other, then sandwich and cut.","Singaporean, breakfast, snack",Singaporean,Easy,5,1,320,Vegetarian,,system,approved
Wanton Mee,Springy noodles with char siu and wantons in a savory sauce.,"egg noodles, char siu, wontons, choy sum, soy sauce, oyster sauce, sesame oil","Blanch noodles until springy, then toss with soy sauce, oyster sauce, and sesame oil. | Top with sliced char siu, boiled wontons, and blanched choy sum.","Singaporean, noodles, pork",Singaporean,Medium,20,1,550,Non-Halal,,system,approved
Chicken Curry,Rich and aromatic curry with tender chicken pieces.,"chicken, curry paste, coconut milk, potato, onion, garlic","Fry onions and garlic until soft, then add curry paste and stir until fragrant. | Add chicken and potato, pour in coconut milk, and simmer until tender.","Singaporean, curry, chicken",Singaporean,Easy,40,4,520,Halal,,system,approved
Popiah,Fresh spring rolls filled with braised turnip and vegetables.,"popiah skins, turnip, carrot, garlic, egg, lettuce, bean sprouts, peanut","Stir fry shredded turnip and carrot until softened and well seasoned. | Lay out popiah skin, add lettuce, turnip mix, egg strips, bean sprouts, and peanuts, then roll tightly and slice.","Singaporean, snack, wrap",Singaporean,Medium,45,4,300,Vegetarian,,system,approved
Carrot Cake (Savoury),"Stir-fried radish cake with egg, garlic, and chai poh.","radish cake, egg, garlic, chai poh, dark soy sauce, spring onion","Fry chopped radish cake with garlic and preserved radish until crisp. | Pour beaten eggs over and scramble together, then season with dark soy sauce and garnish with spring onion.","Singaporean, hawker, fried",Singaporean,Easy,15,2,480,Non-Halal,,system,approved
Mee Siam,Tangy and spicy rice vermicelli with a tamarind-based gravy.,"rice vermicelli, tamarind, taucheo, chili paste, tofu, egg","Soak vermicelli until pliable. | Fry chili paste and taucheo until fragrant, add tamarind water and simmer. | Add tofu and serve the gravy over blanched vermicelli with egg.","Singaporean, noodles, tangy",Singaporean,Medium,30,2,520,Halal,,system,approved
